"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"1694.42","381.359","E(γ): From 136I β- decay (46.9 s)",
"1891.74","197.316","E(γ): From 136I β- decay (46.9 s)",
"2125.72","431.38","I(γ): From 136Xe(n,n’γ).",
"812.63","I(γ): From 136Xe(n,n’γ).",
"2261.56","369.813","E(γ): From 136I β- decay (46.9 s), I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., M(γ): from α(K)exp,α(L)exp in 136I β- decay. Transition is ΔJ=0 from γγ(θ) in 238U(12C,Fγ),208Pb(18O,Fγ).",
"567.0","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"2289.55","2289.6","M(γ): d,Q from γ(θ) in 136Xe(γ,γ’).  E2 from level scheme.",
"2414.76","1101.4","E(γ): From 136I β- decay (46.9 s), I(γ): weighted average of 7.1 11 (136I β- decay (83.4 s)), 8.3 10 (136Xe(n,n’γ))",
"2414.6","E(γ): From 136I β- decay (46.9 s), M(γ): Q from γ(θ) in 136Xe(γ,γ’), Δπ=no from level scheme.",
"2444.43","182.7","E(γ): From 136I β- decay (46.9 s), I(γ): weighted average of 12.8 16 (136I β- decay (46.6 s)), 8.1 16 (136Xe(n,n’γ))",
"318.6","E(γ): From 136I β- decay (46.9 s), I(γ): weighted average of 8.8 7 (136I β- decay (46.6 s)), 10.5 16 (136Xe(n,n’γ))",
"552.69","E(γ): From 136I β- decay (46.9 s), I(γ): weighted average of 14.5 10 (136I β- decay (46.6 s)), 14.2 16 (136Xe(n,n’γ))",
"750.05","E(γ): From 136I β- decay (46.9 s), I(γ): From 136Xe(n,n’γ)., M(γ): from γγ(θ) in 136I β- decay (46.6 s)",
"2465.05","339.4","E(γ): From 136I β- decay (46.9 s), I(γ): weighted average of 20 4 (136I β- decay (46.6 s)), 15.2 10 (136Xe(n,n’γ))",
"770.75","E(γ): From 136I β- decay (46.9 s), I(γ): From 136Xe(n,n’γ).",
"2608.47","164.12","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"346.81","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"482.80","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"716.7","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"914.1","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"2866.8","975.1","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"2869.02","2868.9","M(γ): d,Q from γ(θ) in 136Xe(γ,γ’), E2 from level scheme.",
"3229.2","967.6","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., M(γ): Q from γγ(θ) in 238U(12C,Fγ),208Pb(18O,Fγ), E2 from band assignment",
"3350.0","3350","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"3483.8","254.6","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., M(γ): Q from γγ(θ) in 238U(12C,Fγ),208Pb(18O,Fγ), E2 from band assignment",
"617.0","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"3626.1","2313","E(γ): From (γ,γ’)., I(γ): From (γ,γ’).",
"3626","E(γ): From (γ,γ’)., I(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"3675","3675","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"3738","3738","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"3830.0","600.8","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"3830.08","1385.6","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"1937.4","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"2135.8","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"3872.84","2178.4","E(γ): From 136I β- decay (46.9 s)",
"4057.63","1592.8","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"1796.0","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"2165.8","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"2362.8","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"4380.4","1151.2","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"4474.06","4473.8","M(γ): From γ(θ) in (γ,γ’).",
"4711.2","4711.1","M(γ): From γ(θ) in (γ,γ’).",
"4857.0","1027.1","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"1373.2","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"4890","4890","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"4929","4929","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"4947.44","2312.8","E(γ): Multiply placed. From 136I β- decay (83.4s + 46.9 s), I(γ): from 136I β- decay (83.4 s + 46.6 s)",
"2657.9","E(γ): Multiply placed",
"3634.6","E(γ): Multiply placed",
"5128","5128","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"5141.0","284.0","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"1657.0","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"5187","5187","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"5217.8","2657.9","E(γ): Multiply placed",
"5322","5322","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"5352","5352","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"5458","5458","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"5608.2","3482.6","E(γ): Multiply placed. From 136I β- decay (83.4s + 46.9 s), I(γ): from 136I β- decay (83.4 s + 46.6 s)",
"5608.0","I(γ): from 136I β- decay (83.4 s + 46.6 s), M(γ): From γ(θ) in (γ,γ’).",
"5639","5639","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"5651","5651","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"5728","5728","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"5760.3","3200.5","E(γ): Multiply placed. From 136I β- decay (83.4s + 46.9 s), I(γ): from 136I β- decay (83.4 s + 46.6 s)",
"3634.6","E(γ): Multiply placed",
"5800.2","5800.5","M(γ): From γ(θ) in (γ,γ’).",
"5861.6","3600.0","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"3735.9","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"5870.8","5870.7","M(γ): From γ(θ) in (γ,γ’).",
"5879.9","398.2","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"5888","5888","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"5914","5914","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"5950.8","70.7","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"469.1","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"1093.7","E(γ): other: 1094.3 10 in 248Cm SF Decay. From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"6003","6003","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6030","6030","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6091.3","3482.6","E(γ): Multiply placed. From 136I β- decay (83.4s + 46.9 s), I(γ): From 136I β- decay (83.4s + 46.9 s)",
"3626.4","E(γ): Multiply placed. From 136I β- decay (83.4s + 46.9 s), I(γ): From 136I β- decay (83.4s + 46.9 s)",
"4396.3","E(γ): From 136I β- decay (46.9 s), I(γ): From 136I β- decay (46.9 s)",
"6103.9","6104.2","M(γ): d from γ(θ) in (γ,γ’), Δπ=yes from level scheme.",
"6114.5","6114.4","M(γ): From γ(θ) in (γ,γ’).",
"6126.4","6126.3","M(γ): From γ(θ) in (γ,γ’).",
"6155.6","1014.6","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"6170.3","219.5","E(γ): other: 221.0 1 in 248Cm SF decay.. From 238U(12C,Fγ),208Pb(18O,Fγ).",
"6186.38","2312.8","E(γ): Multiply placed. From 136I β- decay (83.4s + 46.9 s), I(γ): From 136I β- decay (83.4s + 46.9 s)",
"3626.4","E(γ): Multiply placed. From 136I β- decay (83.4s + 46.9 s), I(γ): From 136I β- decay (83.4s + 46.9 s)",
"3925.0","E(γ): From 136I β- decay (83.4s + 46.9 s), I(γ): From 136I β- decay (83.4s + 46.9 s)",
"4873.4","E(γ): From 136I β- decay (83.4s + 46.9 s), I(γ): From 136I β- decay (83.4s + 46.9 s)",
"6227","6227","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6253.5","6253.3","M(γ): From γ(θ) in (γ,γ’).",
"6301","6301","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6310","6310","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6324","6324","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6354","6354","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6372","6372","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6409.0","3775.0","E(γ): Multiply placed",
"6412.3","3200.5","E(γ): Multiply placed. From 136I β- decay (83.4s + 46.9 s), I(γ): From 136I β- decay (83.4s + 46.9 s)",
"3967.8","E(γ): From 136I β- decay (83.4s + 46.9 s), I(γ): From 136I β- decay (83.4s + 46.9 s)",
"6430","6430","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6455","6455","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6493","6493","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6509","6509","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6527","6527","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6562","6562","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6577","6577","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6611.6","441.2","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"6624.10","3775.0","E(γ): Multiply placed",
"6665","6665","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6684","6684","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6691","6691","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6704","6704","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6715","6715","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6734","6734","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6737.8","567.5","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"6771","6771","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6797","6797","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6808","6808","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6861","6861","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6869","6869","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6884","6884","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6942","6942","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"6968","6968","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7013","7013","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7023","7023","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7053","7053","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7067.6","329.8","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"455.9","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"897.5","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"7071","7071","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7082","7082","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7094","7094","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7121","7121","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7134","7134","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7165","7165","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7193","7193","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7200","7200","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7212","7212","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7232","7232","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7245","7245","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7343","7343","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7370","7370","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7512.1","444.5","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"7635.6","568.0","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ)., I(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"7692","7692","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7727","7727","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7848.5","336.4","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"7883","7883","E(γ): From (γ,γ’)., I(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7908","7908","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"7947.5","435.4","E(γ): From 238U(12C,Fγ),208Pb(18O,Fγ).",
"7990","7990","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"8024","8024","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"8051","8051","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"8066","8066","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",
"8093","8093","E(γ): From (γ,γ’)., M(γ): From γ(θ) in (γ,γ’).",

